Approach, Missing Data Mechanism, Missing Ratio, RMSE
MeanImputation,MCAR,0.3,0.2191357057
MICE,MCAR,0.3,0.0555108755
MissForest,MCAR,0.3,0.0355928603
GAINCredit,MCAR,0.5,0.2049501284
MostFrequent,MCAR,0.5,0.7664905558
MeanImputation,MCAR,0.5,0.3863899353
MICE,MCAR,0.5,0.0579073804
MissForest,MCAR,0.5,0.0388432598
GAINCredit,MCAR,0.7,0.1064012049
MostFrequent,MCAR,0.7,0.3375534289
MeanImputation,MCAR,0.7,0.2399136388
MICE,MCAR,0.7,0.0623790985
MissForest,MCAR,0.7,0.0457526162
GAINCredit,MAR,0.1,0.0224340486
MostFrequent,MAR,0.1,0.1298721491
MeanImputation,MAR,0.1,0.059591621
MICE,MAR,0.1,0.0240951692
MissForest,MAR,0.1,0.0131576851
GAINCredit,MAR,0.3,0.0897251167
MostFrequent,MAR,0.3,0.295018522
MeanImputation,MAR,0.3,0.1813483669
MICE,MAR,0.3,0.0748191061
MissForest,MAR,0.3,0.0500701963
GAINCredit,MAR,0.5,0.1368744412
MostFrequent,MAR,0.5,0.4683279973
MeanImputation,MAR,0.5,0.3847584606
MICE,MAR,0.5,0.0693037673
MissForest,MAR,0.5,0.050090466
GAINCredit,MAR,0.7,0.2495283418
MostFrequent,MAR,0.7,0.3107280985
MeanImputation,MAR,0.7,0.2837344642
MICE,MAR,0.7,0.036118702
MissForest,MAR,0.7,0.0290466296
GAINCredit,MCAR,0.1,0.0623553225
MostFrequent,MCAR,0.1,0.0756564209
MeanImputation,MCAR,0.1,0.0578003527
MICE,MCAR,0.1,0.0539761063
MissForest,MCAR,0.1,0.033767939
GAINCredit,MCAR,0.3,0.0923155451
MostFrequent,MCAR,0.3,0.7043372437
MeanImputation,MCAR,0.3,0.2180374529
MICE,MCAR,0.3,0.0552294487
MissForest,MCAR,0.3,0.0352694744
GAINCredit,MCAR,0.5,0.1065338403
MostFrequent,MCAR,0.5,0.6627238529
MeanImputation,MCAR,0.5,0.3345284382
MICE,MCAR,0.5,0.0576453152
MissForest,MCAR,0.5,0.0391025798
GAINCredit,MCAR,0.7,0.1405826701
MostFrequent,MCAR,0.7,0.780727507
MeanImputation,MCAR,0.7,0.5484589226
MICE,MCAR,0.7,0.0625177944
MissForest,MCAR,0.7,0.0458206567
GAINCredit,MAR,0.1,0.1179625189
MostFrequent,MAR,0.1,0.6682655058
MeanImputation,MAR,0.1,0.2925960597
MICE,MAR,0.1,0.0188106686
MissForest,MAR,0.1,0.0117667369
GAINCredit,MAR,0.3,0.1156726601
MostFrequent,MAR,0.3,0.1257306059
MeanImputation,MAR,0.3,0.0897737727
MICE,MAR,0.3,0.023203527
MissForest,MAR,0.3,0.0156297225
GAINCredit,MAR,0.5,0.066936256
MostFrequent,MAR,0.5,0.2785389487
MeanImputation,MAR,0.5,0.2316528608
MICE,MAR,0.5,0.0680571198
MissForest,MAR,0.5,0.0495299542
GAINCredit,MAR,0.7,0.1063609851
MostFrequent,MAR,0.7,0.4149538258
MeanImputation,MAR,0.7,0.3720289512
MICE,MAR,0.7,0.0661910002
MissForest,MAR,0.7,0.0488583177
GAINCredit,MCAR,0.1,0.0911166456
MostFrequent,MCAR,0.1,0.2433721141
MeanImputation,MCAR,0.1,0.0743177685
MICE,MCAR,0.1,0.052670894
MissForest,MCAR,0.1,0.0328045463
GAINCredit,MCAR,0.3,0.0537762738
MostFrequent,MCAR,0.3,0.1080236067
MeanImputation,MCAR,0.3,0.0627409786
MICE,MCAR,0.3,0.0553368852
MissForest,MCAR,0.3,0.0353746472
GAINCredit,MCAR,0.5,0.2110013479
MostFrequent,MCAR,0.5,0.2851195389
MeanImputation,MCAR,0.5,0.1507365559
MICE,MCAR,0.5,0.0575192547
MissForest,MCAR,0.5,0.0389704245
GAINCredit,MCAR,0.7,0.0727295771
MostFrequent,MCAR,0.7,0.8583811265
MeanImputation,MCAR,0.7,0.601754834
MICE,MCAR,0.7,0.062275311
MissForest,MCAR,0.7,0.0452257157
GAINCredit,MAR,0.1,0.0550054679
MostFrequent,MAR,0.1,0.102094443
MeanImputation,MAR,0.1,0.0709499908
MICE,MAR,0.1,0.0505020609
MissForest,MAR,0.1,0.033961633
GAINCredit,MAR,0.3,0.1568425764
MostFrequent,MAR,0.3,0.0987026766
MeanImputation,MAR,0.3,0.0764150963
MICE,MAR,0.3,0.0281604258
MissForest,MAR,0.3,0.0190980032
GAINCredit,MAR,0.5,0.0533769136
MostFrequent,MAR,0.5,0.1022299493
MeanImputation,MAR,0.5,0.0808853282
MICE,MAR,0.5,0.0329008694
MissForest,MAR,0.5,0.0234846304
GAINCredit,MAR,0.7,0.0977321865
MostFrequent,MAR,0.7,0.7897654274
MeanImputation,MAR,0.7,0.7448395857
MICE,MAR,0.7,0.0667727452
MissForest,MAR,0.7,0.0498652456
GAINCredit,MCAR,0.1,0.0665290158
MostFrequent,MCAR,0.1,0.0670736404
MeanImputation,MCAR,0.1,0.0570998263
MICE,MCAR,0.1,0.0536033899
MissForest,MCAR,0.1,0.0332663924
GAINCredit,MCAR,0.3,0.2432867872
MostFrequent,MCAR,0.3,0.1274423373
MeanImputation,MCAR,0.3,0.0661206941
MICE,MCAR,0.3,0.0554491828
MissForest,MCAR,0.3,0.035592637
GAINCredit,MCAR,0.5,0.2604324559
MostFrequent,MCAR,0.5,0.8628225918
MeanImputation,MCAR,0.5,0.4335194034
MICE,MCAR,0.5,0.0577719016
MissForest,MCAR,0.5,0.038557701
GAINCredit,MCAR,0.7,0.1279387379
MostFrequent,MCAR,0.7,0.2994532401
MeanImputation,MCAR,0.7,0.2137293746
MICE,MCAR,0.7,0.0620530744
MissForest,MCAR,0.7,0.0446723815
GAINCredit,MAR,0.1,0.0304993672
MostFrequent,MAR,0.1,0.2866132518
MeanImputation,MAR,0.1,0.0889596243
MICE,MAR,0.1,0.0258257243
MissForest,MAR,0.1,0.0168004844
GAINCredit,MAR,0.3,0.1703748069
MostFrequent,MAR,0.3,0.1248709354
MeanImputation,MAR,0.3,0.1002962941
MICE,MAR,0.3,0.0253609626
MissForest,MAR,0.3,0.0163412885
GAINCredit,MAR,0.5,0.0536170702
MostFrequent,MAR,0.5,0.6561479946
MeanImputation,MAR,0.5,0.4959423605
MICE,MAR,0.5,0.032708931
MissForest,MAR,0.5,0.0248133617
GAINCredit,MAR,0.7,0.0907168733
MostFrequent,MAR,0.7,0.2339514345
MeanImputation,MAR,0.7,0.2135116217
MICE,MAR,0.7,0.034067024
MissForest,MAR,0.7,0.0287313994
